applicant_id,gender,dept,outcome
130,male,D,rejected
131,male,B,admitted
132,male,D,admitted
133,male,B,admitted
134,female,D,rejected
135,female,F,rejected
136,female,F,rejected
137,male,B,rejected
138,female,D,admitted
139,male,B,admitted
140,male,B,admitted
141,female,A,admitted
142,female,D,admitted
143,male,B,rejected
144,male,B,rejected
145,female,D,rejected
146,male,B,admitted
147,male,A,admitted
148,male,A,admitted
149,male,A,admitted
150,female,D,rejected
151,male,B,rejected
152,male,F,rejected
153,male,D,admitted
154,female,A,admitted
155,male,A,rejected
156,male,A,admitted
157,male,A,admitted
158,male,F,admitted
159,male,B,admitted
160,female,F,rejected
161,male,B,admitted
162,male,B,admitted
163,male,D,rejected
164,male,A,rejected
165,female,F,rejected
166,male,A,rejected
167,male,A,admitted
168,female,D,rejected
169,male,B,rejected
170,female,B,admitted
171,female,D,admitted
172,male,A,admitted
173,male,B,admitted
174,male,A,admitted
175,male,B,rejected
176,male,B,admitted
177,male,D,rejected
178,male,A,rejected
179,male,A,rejected
180,male,D,admitted
181,male,A,admitted
182,male,A,admitted
183,male,B,admitted
184,female,F,rejected
185,female,F,rejected
186,male,F,rejected
187,female,D,rejected
188,male,F,rejected
189,male,B,admitted
190,male,D,rejected
191,male,A,admitted
192,male,F,rejected
193,male,B,admitted
194,female,F,rejected
195,male,B,rejected
196,male,A,admitted
197,male,A,admitted
198,male,A,admitted
199,female,F,rejected
200,male,B,admitted
201,male,A,admitted
202,male,A,rejected
203,female,A,admitted
204,male,D,rejected
205,male,A,admitted
206,female,D,rejected
207,female,F,rejected
208,male,A,admitted
209,female,F,rejected
210,male,B,admitted
211,female,F,rejected
212,male,B,admitted
213,male,F,rejected
214,male,A,rejected
215,male,F,rejected
216,male,D,rejected
217,male,D,rejected
218,male,D,rejected
219,female,D,rejected
220,female,D,rejected
221,female,D,rejected
222,male,D,rejected
223,male,F,rejected
224,male,A,admitted
225,female,F,rejected
226,male,B,admitted
227,female,F,rejected
228,female,D,rejected
229,male,B,admitted
230,male,B,admitted
231,male,D,rejected
232,male,A,admitted
233,male,B,admitted
234,female,D,rejected
235,female,F,rejected
236,female,F,rejected
237,male,B,rejected
238,male,A,admitted
239,male,B,admitted
240,male,A,admitted
241,male,D,rejected
242,female,F,rejected
243,female,A,admitted
244,male,A,rejected
245,male,B,admitted
246,male,A,admitted
247,male,D,rejected
248,male,B,admitted
249,female,F,rejected
250,male,F,rejected
251,male,B,rejected
252,male,D,rejected
253,male,A,admitted
254,male,F,admitted
255,male,A,rejected
256,female,F,rejected
257,male,D,admitted
258,male,F,rejected
259,female,F,rejected
260,male,A,rejected
261,male,F,rejected
262,male,A,rejected
263,female,F,rejected
264,female,F,rejected
265,female,D,rejected
266,male,B,admitted
267,male,A,admitted
268,male,F,rejected
269,female,F,rejected
270,male,A,rejected
271,male,B,admitted
272,female,F,rejected
273,male,A,admitted
274,male,A,admitted
275,male,D,rejected
276,female,D,rejected
277,male,A,rejected
278,female,F,rejected
279,female,D,admitted
280,male,B,rejected
281,female,F,rejected
282,male,A,rejected
283,male,A,rejected
284,male,D,rejected
285,male,B,rejected
286,male,F,rejected
287,male,F,rejected
288,male,A,admitted
289,male,D,rejected
290,male,B,rejected
291,female,F,rejected
292,male,F,rejected
293,male,F,rejected
294,male,A,admitted
295,male,D,admitted
296,male,D,rejected
297,male,F,rejected
298,male,A,admitted
299,female,F,rejected
300,female,D,rejected
301,male,B,admitted
302,male,A,rejected
303,male,A,admitted
304,female,F,rejected
305,male,B,admitted
306,female,D,rejected
307,male,D,admitted
308,male,D,admitted
309,male,F,rejected
310,male,D,admitted
311,female,F,rejected
312,male,A,rejected
313,male,A,admitted
314,male,F,rejected
315,male,B,rejected
316,male,D,rejected
317,female,A,admitted
318,male,F,rejected
319,female,F,admitted
320,male,A,admitted
321,male,B,admitted
322,male,A,rejected
323,female,A,admitted
324,male,D,rejected
325,male,B,admitted
326,male,D,admitted
327,male,F,rejected
328,male,F,rejected
329,female,D,rejected
330,male,A,admitted
331,female,A,admitted
332,male,D,rejected
333,male,A,admitted
334,female,F,rejected
335,female,F,rejected
336,female,F,rejected
337,female,D,rejected
338,male,B,admitted
339,male,A,admitted
340,male,A,rejected
341,male,B,rejected
342,female,A,rejected
343,female,F,rejected
344,female,A,admitted
345,female,D,rejected
346,male,A,admitted
347,male,B,admitted
348,male,B,rejected
349,female,F,rejected
350,female,A,rejected
351,male,B,admitted
352,male,B,admitted
353,male,B,rejected
354,male,F,rejected
355,female,D,admitted
356,female,D,rejected
357,female,D,rejected
358,male,A,admitted
359,male,D,rejected
360,female,D,rejected
361,male,B,rejected
362,male,A,admitted
363,male,A,admitted
364,male,F,rejected
365,male,F,rejected
366,male,A,admitted
367,female,A,admitted
368,male,A,rejected
369,male,A,admitted
370,male,B,admitted
371,male,D,rejected
372,male,B,admitted
373,female,D,rejected
374,male,A,rejected
375,female,D,rejected
376,male,A,admitted
377,female,A,admitted
378,male,D,rejected
379,male,A,admitted
380,male,B,admitted
381,male,A,admitted
382,female,B,admitted
383,male,B,admitted
384,male,A,rejected
385,female,A,admitted
386,male,A,rejected
387,male,B,admitted
388,male,A,admitted
389,male,B,admitted
390,male,A,rejected
391,female,F,admitted
392,male,B,admitted
393,male,F,rejected
394,male,F,rejected
395,male,D,rejected
396,female,A,admitted
397,male,A,admitted
398,male,F,rejected
399,female,A,admitted
400,male,F,rejected
401,female,F,rejected
402,female,F,rejected
403,female,D,rejected
404,male,D,rejected
405,female,F,admitted
406,male,A,admitted
407,male,A,rejected
408,male,F,rejected
409,male,B,rejected
410,female,D,rejected
411,male,B,admitted
412,male,A,rejected
413,male,A,admitted
414,female,F,admitted
415,male,F,rejected
416,male,B,rejected
417,male,B,admitted
418,female,A,admitted
419,male,B,admitted
420,male,B,admitted
421,male,F,rejected
422,female,F,rejected
423,male,D,admitted
424,male,F,rejected
425,male,B,admitted
426,female,F,rejected
427,female,F,rejected
428,male,D,rejected
429,female,D,rejected
430,female,D,rejected
431,male,F,rejected
432,female,D,admitted
433,male,A,rejected
434,male,A,admitted
435,male,F,rejected
436,male,D,rejected
437,male,D,rejected
438,male,B,admitted
439,male,A,rejected
440,male,A,admitted
441,male,A,rejected
442,male,A,rejected
443,male,A,admitted
444,male,F,rejected
445,male,F,rejected
446,female,F,rejected
447,male,F,rejected
448,female,D,admitted
449,male,A,rejected
450,male,F,rejected
451,male,A,admitted
452,male,B,rejected
453,male,A,admitted
454,female,D,rejected
455,male,F,rejected
456,male,A,admitted
457,male,A,rejected
458,male,A,rejected
459,male,B,rejected
460,male,D,admitted
461,female,F,rejected
462,male,B,rejected
463,female,D,rejected
464,male,A,admitted
465,female,F,rejected
466,male,D,rejected
467,male,A,rejected
468,male,B,admitted
469,male,F,rejected
470,male,A,admitted
471,female,F,rejected
472,female,D,admitted
473,male,D,rejected
474,male,A,rejected
475,male,B,admitted
476,male,A,rejected
477,male,F,rejected
478,female,F,rejected
479,male,D,rejected
480,male,F,rejected
481,male,B,rejected
482,male,A,rejected
483,male,A,rejected
484,female,F,rejected
485,female,D,admitted
486,male,A,rejected
487,female,D,admitted
488,male,F,rejected
489,female,D,rejected
490,male,A,admitted
491,male,F,rejected
492,male,A,admitted
493,male,B,admitted
494,male,B,admitted
495,female,F,rejected
496,male,B,rejected
497,male,B,admitted
498,male,B,rejected
499,male,D,rejected
500,male,F,admitted
501,male,A,rejected
502,male,B,rejected
503,male,D,rejected
504,male,F,rejected
505,male,A,admitted
506,female,D,admitted
507,female,D,admitted
508,female,D,rejected
509,male,A,rejected
510,male,B,rejected
511,female,D,admitted
512,male,B,rejected
513,female,F,rejected
514,male,B,admitted
515,male,B,rejected
516,male,D,rejected
517,female,D,admitted
518,female,D,rejected
519,male,F,rejected
520,female,D,admitted
521,male,D,rejected
522,male,F,rejected
523,male,B,admitted
524,male,A,admitted
525,male,B,admitted
526,male,F,rejected
527,female,D,admitted
528,male,D,admitted
529,male,D,admitted
530,male,A,rejected
531,male,A,rejected
532,male,A,admitted
533,male,F,rejected
534,male,A,admitted
535,male,D,admitted
536,male,A,admitted
537,male,B,admitted
538,male,A,rejected
539,male,A,rejected
540,male,B,admitted
541,male,A,admitted
542,male,D,rejected
543,male,B,admitted
544,male,A,admitted
545,female,F,rejected
546,male,A,admitted
547,male,A,rejected
548,male,A,admitted
549,female,A,admitted
550,female,D,rejected
551,female,F,rejected
552,male,A,admitted
553,male,F,rejected
554,male,A,admitted
555,male,A,admitted
556,female,F,rejected
557,female,D,admitted
558,male,F,rejected
559,male,B,rejected
560,female,D,rejected
561,male,B,admitted
562,male,F,rejected
563,male,A,rejected
564,male,A,admitted
565,male,D,rejected
566,male,A,admitted
567,male,A,admitted
568,male,A,admitted
569,male,A,admitted
570,female,F,rejected
571,male,D,rejected
572,female,A,admitted
573,female,D,rejected
574,male,A,admitted
575,male,F,rejected
576,male,A,rejected
577,male,D,rejected
578,male,D,rejected
579,male,A,rejected
580,female,D,rejected
581,female,D,rejected
582,male,F,rejected
583,male,B,admitted
584,male,A,rejected
585,male,F,rejected
586,male,A,admitted
587,male,A,rejected
588,male,B,admitted
589,male,B,admitted
590,male,D,admitted
591,female,D,admitted
592,female,F,rejected
593,male,A,admitted
594,male,A,rejected
595,male,B,admitted
596,male,A,admitted
597,male,B,admitted
598,male,A,admitted
599,male,B,admitted
600,male,A,rejected
601,male,A,admitted
602,male,D,rejected
603,male,D,rejected
604,female,F,rejected
605,female,D,rejected
606,female,F,rejected
607,female,F,rejected
608,male,A,admitted
609,female,D,admitted
610,female,F,rejected
611,female,D,admitted
612,male,B,admitted
613,male,D,rejected
614,male,F,rejected
615,female,F,rejected
616,male,A,admitted
617,female,D,rejected
618,male,D,rejected
619,female,F,rejected
620,female,D,admitted
621,female,D,admitted
622,male,B,admitted
623,male,A,admitted
624,female,F,rejected
625,female,D,rejected
626,male,A,admitted
627,female,D,rejected
628,male,A,rejected
629,male,D,admitted
630,male,D,admitted
631,female,D,rejected
632,male,A,admitted
633,male,D,rejected
634,male,A,rejected
635,male,F,rejected
636,male,A,rejected
637,female,D,rejected
638,male,F,rejected
639,male,B,rejected
640,female,D,admitted
641,male,A,rejected
642,male,B,rejected
643,male,A,admitted
644,male,A,rejected
645,male,F,rejected
646,female,D,rejected
647,male,F,rejected
648,male,F,rejected
649,female,F,rejected
650,female,D,rejected
651,male,A,rejected
652,male,D,rejected
653,female,F,rejected
654,male,A,rejected
655,female,F,rejected
656,male,D,rejected
657,male,B,rejected
658,female,B,admitted
659,male,F,rejected
660,male,D,admitted
661,female,D,rejected
662,male,B,admitted
663,male,A,admitted
664,female,D,rejected
665,female,D,admitted
666,male,A,admitted
667,male,F,rejected
668,female,A,rejected
669,male,A,admitted
670,male,A,admitted
671,male,D,rejected
672,female,D,rejected
673,male,F,rejected
674,female,F,rejected
675,female,F,admitted
676,male,D,rejected
677,female,F,rejected
678,female,D,rejected
679,female,F,admitted
680,male,F,rejected
681,male,A,rejected
682,female,A,admitted
683,male,F,rejected
684,male,F,rejected
685,male,A,admitted
686,male,F,rejected
687,male,D,rejected
688,male,B,admitted
689,female,D,rejected
690,male,A,admitted
691,male,F,rejected
692,female,F,rejected
693,male,D,rejected
694,male,B,rejected
695,male,B,admitted
696,male,B,admitted
697,female,D,rejected
698,male,A,admitted
699,male,B,admitted
700,male,A,admitted
701,male,B,admitted
702,male,D,rejected
703,male,D,rejected
704,female,B,rejected
705,female,B,admitted
706,male,A,rejected
707,male,A,admitted
708,male,B,admitted
709,female,F,rejected
710,male,B,admitted
711,male,D,rejected
712,male,B,rejected
713,male,B,admitted
714,male,A,rejected
715,female,F,rejected
716,male,D,admitted
717,male,F,rejected
718,female,D,rejected
719,male,B,admitted
720,male,F,rejected
721,male,A,rejected
722,male,D,rejected
723,male,F,rejected
724,male,D,rejected
725,female,D,rejected
726,female,B,admitted
727,female,F,rejected
728,male,B,admitted
729,male,B,admitted
730,male,A,admitted
731,male,A,admitted
732,male,D,rejected
733,male,A,rejected
734,male,B,admitted
735,male,B,rejected
736,female,A,admitted
737,female,F,rejected
738,male,A,rejected
739,male,B,admitted
740,female,A,admitted
741,male,A,admitted
742,male,D,rejected
743,female,D,admitted
744,male,A,rejected
745,male,D,rejected
746,female,D,rejected
747,male,A,admitted
748,male,F,rejected
749,male,F,rejected
750,female,D,admitted
751,male,D,admitted
752,male,D,rejected
753,male,B,rejected
754,male,F,rejected
755,male,F,rejected
756,female,D,admitted
757,male,D,rejected
758,male,A,rejected
759,male,A,rejected
760,male,F,rejected
761,male,A,admitted
762,male,D,admitted
763,male,B,rejected
764,male,F,rejected
765,female,D,rejected
766,male,A,admitted
767,female,D,rejected
768,male,B,admitted
769,female,F,rejected
770,male,A,admitted
771,male,D,rejected
772,female,F,rejected
773,male,D,admitted
774,male,D,admitted
775,female,F,rejected
776,female,D,rejected
777,male,D,rejected
778,male,D,admitted
779,male,B,admitted
780,female,F,rejected
781,female,D,admitted
782,male,F,rejected
783,male,B,admitted
784,male,A,admitted
785,male,F,rejected
786,male,A,admitted
787,female,F,rejected
788,male,A,admitted
789,male,A,rejected
790,male,B,rejected
791,male,F,rejected
792,male,B,admitted
793,male,A,admitted
794,male,A,admitted
795,female,F,rejected
796,male,A,admitted
797,male,F,rejected
798,male,B,admitted
799,male,F,rejected
800,male,B,rejected
801,female,F,rejected
802,male,B,admitted
803,female,F,rejected
804,female,F,rejected
805,male,A,rejected
806,female,D,admitted
807,male,F,rejected
808,male,B,admitted
809,female,D,admitted
810,female,D,admitted
811,male,F,rejected
812,male,B,admitted
813,male,D,rejected
814,male,B,rejected
815,male,A,rejected
816,female,F,rejected
817,male,A,admitted
818,male,F,rejected
819,male,D,admitted
820,male,A,rejected
821,male,D,rejected
822,male,D,admitted
823,female,D,rejected
824,male,A,admitted
825,male,D,admitted
826,male,B,rejected
827,male,A,rejected
828,male,A,admitted
829,male,D,rejected
830,male,A,rejected
831,male,F,rejected
832,male,B,admitted
833,male,F,rejected
834,male,F,rejected
835,male,A,admitted
836,male,A,rejected
837,male,A,admitted
838,male,F,rejected
839,female,B,admitted
840,male,D,rejected
841,female,F,rejected
842,male,D,rejected
843,male,A,rejected
844,male,A,rejected
845,male,A,rejected
846,male,A,admitted
847,male,A,admitted
848,male,A,rejected
849,male,A,admitted
850,male,A,admitted
851,male,B,admitted
852,female,D,rejected
853,male,F,rejected
854,male,B,rejected
855,male,A,rejected
856,male,B,rejected
857,male,D,rejected
858,female,F,admitted
859,male,A,admitted
860,male,A,rejected
861,male,D,rejected
862,male,A,admitted
863,male,B,admitted
864,male,A,admitted
865,male,F,rejected
866,female,D,rejected
867,female,D,rejected
868,male,D,rejected
869,male,D,rejected
870,male,A,admitted
871,male,A,admitted
872,male,A,admitted
873,female,F,rejected
874,female,F,rejected
875,male,F,rejected
876,male,B,admitted
877,male,F,rejected
878,male,A,admitted
879,male,B,admitted
880,male,A,admitted
881,male,A,admitted
882,male,A,admitted
883,female,A,admitted
884,male,A,rejected
885,male,A,admitted
886,male,D,rejected
887,female,D,admitted
888,male,B,admitted
889,male,F,rejected
890,female,F,rejected
891,female,D,rejected
892,male,A,rejected
893,female,A,admitted
894,male,A,admitted
895,male,A,admitted
896,female,A,admitted
897,male,A,rejected
898,male,F,rejected
899,male,F,rejected
900,male,B,admitted
901,male,A,admitted
902,male,A,admitted
903,male,B,admitted
904,male,F,rejected
905,male,B,rejected
906,male,B,rejected
907,male,B,rejected
908,male,B,admitted
909,female,F,rejected
910,male,A,rejected
911,female,B,rejected
912,male,A,admitted
913,male,F,rejected
914,male,D,rejected
915,male,F,rejected
916,male,F,rejected
917,male,F,rejected
918,male,A,admitted
919,female,F,rejected
920,male,A,admitted
921,female,D,rejected
922,male,F,rejected
923,male,B,rejected
924,female,D,rejected
925,male,A,admitted
926,male,B,admitted
927,male,A,admitted
928,male,B,rejected
929,male,A,rejected
930,female,D,rejected
931,male,F,rejected
932,male,A,admitted
933,male,A,admitted
934,male,A,rejected
935,female,D,rejected
936,male,B,rejected
937,female,A,admitted
938,male,A,rejected
939,female,D,rejected
940,female,D,rejected
941,male,A,rejected
942,male,D,admitted
943,male,F,rejected
944,male,D,admitted
945,male,D,rejected
946,male,A,rejected
947,female,F,rejected
948,male,A,admitted
949,male,D,admitted
950,male,B,admitted
951,male,A,rejected
952,male,B,rejected
953,male,A,admitted
954,male,B,admitted
955,male,B,admitted
956,female,D,rejected
957,male,A,admitted
958,male,F,rejected
959,male,D,admitted
960,female,F,rejected
961,male,F,rejected
962,male,A,admitted
963,male,D,rejected
964,male,A,admitted
965,female,F,rejected
966,female,B,admitted
967,male,D,rejected
968,male,F,rejected
969,female,F,rejected
970,male,F,rejected
971,male,F,rejected
972,male,D,rejected
973,male,D,admitted
974,male,A,rejected
975,male,D,rejected
976,female,D,admitted
977,male,A,admitted
978,female,A,admitted
979,male,D,rejected
980,male,D,rejected
981,male,B,rejected
982,male,F,rejected
983,male,B,admitted
984,female,D,rejected
985,male,A,admitted
986,male,A,admitted
987,male,D,rejected
988,female,F,rejected
989,male,A,rejected
990,female,D,rejected
991,female,D,rejected
992,male,B,rejected
993,female,D,admitted
994,male,A,admitted
995,male,B,admitted
996,male,D,rejected
997,male,B,admitted
998,male,B,admitted
999,male,A,admitted
1000,female,D,rejected
1001,male,B,admitted
1002,female,F,rejected
1003,male,B,admitted
1004,male,A,admitted
1005,male,A,rejected
1006,male,A,rejected
1007,female,F,rejected
1008,male,A,admitted
1009,male,A,admitted
1010,female,F,rejected
1011,male,B,admitted
1012,female,A,admitted
1013,male,A,admitted
1014,female,A,admitted
1015,male,F,rejected
1016,female,F,rejected
1017,female,F,rejected
1018,male,F,rejected
1019,female,D,rejected
1020,male,D,rejected
1021,male,A,admitted
1022,female,F,rejected
1023,male,F,rejected
1024,male,D,rejected
1025,male,D,rejected
1026,male,A,admitted
1027,male,B,admitted
1028,male,A,admitted
1029,male,D,admitted
1030,female,F,rejected
1031,male,D,rejected
1032,male,A,admitted
1033,male,B,rejected
1034,male,B,admitted
1035,male,A,rejected
1036,male,A,admitted
1037,male,B,admitted
1038,male,A,admitted
1039,male,A,admitted
1040,female,D,rejected
1041,male,B,admitted
1042,female,A,admitted
1043,female,B,admitted
1044,male,B,admitted
1045,male,A,admitted
1046,male,F,rejected
1047,male,A,admitted
1048,male,A,admitted
1049,male,F,rejected
1050,male,A,admitted
1051,female,D,rejected
1052,male,B,admitted
1053,female,D,admitted
1054,male,A,admitted
1055,male,F,rejected
1056,male,A,admitted
1057,male,A,admitted
1058,male,B,admitted
1059,male,B,rejected
1060,male,B,rejected
1061,male,F,rejected
1062,male,B,admitted
1063,male,D,rejected
1064,male,B,rejected
1065,female,F,rejected
1066,male,B,admitted
1067,male,D,rejected
1068,male,B,admitted
1069,male,A,admitted
1070,male,D,admitted
1071,male,D,rejected
1072,male,B,admitted
1073,female,D,admitted
1074,male,B,rejected
1075,female,A,admitted
1076,male,B,admitted
1077,male,A,rejected
1078,male,A,admitted
1079,male,A,admitted
1080,male,D,admitted
1081,female,D,rejected
1082,male,F,rejected
1083,male,D,rejected
1084,male,B,admitted
1085,male,B,rejected
1086,male,D,rejected
1087,male,F,rejected
1088,male,F,rejected
1089,male,D,rejected
1090,male,F,rejected
1091,male,B,admitted
1092,female,D,admitted
1093,male,B,admitted
1094,female,D,admitted
1095,male,D,admitted
1096,male,D,rejected
1097,male,F,rejected
1098,male,A,admitted
1099,female,D,rejected
1100,male,B,rejected
1101,male,A,admitted
1102,male,A,admitted
1103,male,D,rejected
1104,female,D,rejected
1105,male,B,admitted
1106,male,D,admitted
1107,male,B,admitted
1108,female,A,admitted
1109,male,A,rejected
1110,male,A,rejected
1111,male,B,admitted
1112,male,F,rejected
1113,female,F,rejected
1114,male,B,admitted
1115,male,B,rejected
1116,male,B,admitted
1117,female,D,rejected
1118,male,B,admitted
1119,male,D,rejected
1120,male,D,rejected
1121,male,D,rejected
1122,male,F,rejected
1123,male,B,admitted
1124,female,A,rejected
1125,male,B,rejected
1126,male,D,admitted
1127,male,A,rejected
1128,male,B,rejected
1129,female,D,rejected
1130,male,A,admitted
1131,male,D,rejected
1132,male,F,rejected
1133,female,D,rejected
1134,male,F,rejected
1135,male,D,rejected
1136,female,A,admitted
1137,male,A,rejected
1138,male,D,rejected
1139,male,A,rejected
1140,male,A,admitted
1141,male,A,rejected
1142,male,B,admitted
1143,male,D,rejected
1144,male,A,admitted
1145,male,D,admitted
1146,male,A,admitted
1147,male,F,rejected
1148,male,A,rejected
1149,male,A,admitted
1150,female,D,rejected
1151,male,A,rejected
1152,male,A,admitted
1153,male,A,admitted
1154,female,D,rejected
1155,male,B,admitted
1156,male,B,rejected
1157,male,A,admitted
1158,male,B,rejected
1159,male,A,admitted
1160,female,F,rejected
1161,male,B,admitted
1162,male,D,rejected
1163,male,D,rejected
1164,female,D,rejected
1165,female,A,rejected
1166,male,A,rejected
1167,male,A,admitted
1168,female,D,rejected
1169,male,F,rejected
1170,male,B,admitted
1171,male,A,admitted
1172,male,A,admitted
1173,female,A,admitted
1174,male,D,rejected
1175,male,A,rejected
1176,male,A,rejected
1177,male,A,admitted
1178,male,B,admitted
1179,female,D,rejected
1180,male,D,rejected
1181,male,F,rejected
1182,female,D,admitted
1183,male,A,admitted
1184,male,D,rejected
1185,male,B,rejected
1186,female,F,rejected
1187,female,D,rejected
1188,male,F,rejected
1189,male,A,rejected
1190,male,B,rejected
1191,male,D,admitted
1192,male,F,rejected
1193,male,A,admitted
1194,male,D,rejected
1195,female,D,rejected
1196,female,D,admitted
1197,male,B,rejected
1198,male,B,admitted
1199,male,A,admitted
1200,male,B,admitted
1201,male,B,admitted
1202,male,F,rejected
1203,male,B,admitted
1204,male,B,admitted
1205,male,A,admitted
1206,female,F,rejected
1207,male,A,admitted
1208,female,D,rejected
1209,male,A,admitted
1210,female,F,rejected
1211,male,A,rejected
1212,female,D,rejected
1213,male,A,rejected
1214,female,F,rejected
1215,female,F,rejected
1216,male,A,rejected
1217,male,A,rejected
1218,female,D,admitted
1219,female,A,rejected
1220,male,D,rejected
1221,male,A,admitted
1222,male,B,rejected
1223,male,A,admitted
1224,male,F,rejected
1225,male,F,rejected
1226,male,F,rejected
1227,male,A,rejected
1228,male,F,rejected
1229,male,F,rejected
1230,female,F,rejected
1231,female,F,rejected
1232,male,B,admitted
1233,female,F,rejected
1234,male,B,admitted
1235,male,B,rejected
1236,male,A,admitted
1237,male,A,rejected
1238,male,F,rejected
1239,female,D,admitted
1240,female,A,admitted
1241,male,A,rejected
1242,male,D,admitted
1243,female,F,rejected
1244,male,D,rejected
1245,female,D,rejected
1246,male,A,rejected
1247,female,D,rejected
1248,male,B,rejected
1249,male,B,admitted
1250,male,B,admitted
1251,female,F,rejected
1252,female,D,rejected
1253,female,D,admitted
1254,female,A,rejected
1255,female,F,rejected
1256,male,D,admitted
1257,female,F,rejected
1258,male,A,rejected
1259,male,A,admitted
1260,male,A,rejected
1261,female,F,rejected
1262,male,D,rejected
1263,female,F,rejected
1264,female,A,admitted
1265,female,F,rejected
1266,male,A,rejected
1267,female,D,admitted
1268,male,F,rejected
1269,male,B,admitted
1270,female,D,admitted
1271,male,A,admitted
1272,male,B,rejected
1273,female,D,admitted
1274,male,D,rejected
1275,male,B,rejected
1276,female,D,rejected
1277,male,B,admitted
1278,male,F,rejected
1279,female,D,admitted
1280,male,F,rejected
1281,female,D,rejected
1282,female,D,rejected
1283,male,B,admitted
1284,male,A,rejected
1285,female,D,rejected
1286,male,B,rejected
1287,male,D,admitted
1288,female,D,admitted
1289,male,B,admitted
1290,female,D,rejected
1291,male,A,admitted
1292,male,A,rejected
1293,female,A,admitted
1294,male,D,rejected
1295,male,D,admitted
1296,male,B,rejected
1297,male,B,rejected
1298,female,D,rejected
1299,female,D,rejected
1300,male,A,rejected
1301,male,A,admitted
1302,male,F,rejected
1303,female,D,rejected
1304,male,A,admitted
1305,male,F,rejected
1306,male,D,admitted
1307,female,B,rejected
1308,male,A,rejected
1309,male,A,rejected
1310,female,F,rejected
1311,male,B,rejected
1312,male,D,admitted
1313,female,F,rejected
1314,male,A,admitted
1315,male,D,admitted
1316,male,A,admitted
1317,male,B,rejected
1318,male,A,admitted
1319,male,B,rejected
1320,female,F,rejected
1321,male,A,rejected
1322,male,A,admitted
1323,female,D,admitted
1324,female,A,admitted
1325,male,A,rejected
1326,male,A,admitted
1327,male,B,admitted
1328,female,F,rejected
1329,female,D,admitted
1330,female,D,rejected
1331,male,A,admitted
1332,male,A,rejected
1333,female,F,rejected
1334,male,B,admitted
1335,female,F,rejected
1336,female,A,admitted
1337,male,A,admitted
1338,female,D,rejected
1339,male,A,rejected
1340,male,F,rejected
1341,male,B,admitted
1342,male,B,admitted
1343,male,F,rejected
1344,male,D,admitted
1345,female,F,rejected
1346,female,D,rejected
1347,male,A,rejected
1348,female,D,admitted
1349,male,B,rejected
1350,male,F,rejected
1351,male,A,admitted
1352,male,D,rejected
1353,male,F,admitted
1354,male,A,admitted
1355,male,F,rejected
1356,female,F,rejected
1357,male,B,admitted
1358,female,A,admitted
1359,male,A,admitted
1360,male,A,admitted
