id,product_name,price
141,"Spoon - Soup, Plastic",51.62
142,Fuji Apples,82.59
143,Squash - Pepper,41.84
144,Wine - Balbach Riverside,78.29
145,Grapes - Black,81.96
146,Basil - Pesto Sauce,31.81
147,Beans - Kidney White,93.91
148,Nantucket - Kiwi Berry Cktl.,89.57
149,"Cheese - Cheddar, Medium",5.01
150,Eggplant Oriental,95.26
151,Wine - Cabernet Sauvignon,14.21
152,Lidsoupcont Rp12dn,50.24
153,Oyster - In Shell,78.41
154,"Radish - Black, Winter, Organic",14.96
155,Tea - Green,98.56
156,Muskox - French Rack,81.36
157,Bagelers - Cinn / Brown Sugar,51.01
158,Cream - 35%,36.19
159,"Wine - White, Chardonnay",77.76
160,Wine - Fino Tio Pepe Gonzalez,17.96
161,Fish - Bones,19.58
162,"Seedlings - Mix, Organic",94.12
163,Tamarind Paste,36.68
164,Sauce - Cranberry,74.79
165,"Wine - Red, Marechal Foch",56.21
166,Cakes Assorted,7.26
167,Zucchini - Green,84.63
168,Cheese - Brie,8.07
169,Aspic - Light,66.56
170,Chicken - Bones,44.94
171,Crab Brie In Phyllo,81.05
172,Sauce - Plum,11.8
173,Beef - Tenderloin Tails,73.7
174,Grenadine,6.99
175,Mustard - Individual Pkg,3.47
176,"Pepsi - Diet, 355 Ml",47.57
177,"Pasta - Fusili, Dry",56.81
178,"Pepper - Black, Crushed",69.66
179,Cake - Cake Sheet Macaroon,15.25
180,Squid - Tubes / Tenticles 10/20,32.27
181,Soup - Campbells Chili,84.69
182,"Beef - Ox Tail, Frozen",43.83
183,Pear - Prickly,50.15
184,Zucchini - Green,42.26
185,Mustard - Pommery,44.57
186,"Tart Shells - Savory, 3",82.54
187,"Turkey - Breast, Double",53.2
188,"Potatoes - Purple, Organic",41.55
189,Cheese Cloth No 100,93.14
190,"Pork - Bacon,back Peameal",18.8
191,Yoghurt Tubes,46.45
192,Lamb Shoulder Boneless Nz,15.74
193,Dawn Professionl Pot And Pan,92.12
194,Beer - Guiness,34.18
195,Cornflakes,64.12
196,"Salt - Rock, Course",99.54
197,"Salmon - Atlantic, No Skin",68.48
198,Tomatoes Tear Drop,91.14
199,Wine - Chardonnay South,95.5
200,Peach - Fresh,97.95
201,Capers - Ox Eye Daisy,49.44
202,Hot Choc Vending,29.74
203,Ham - Proscuitto,99.21
204,Water - Spring 1.5lit,78.37
205,Muffin Batt - Choc Chk,3.23
206,Nantucket Pine Orangebanana,95.33
207,"Wine - White, Colubia Cresh",14.2
208,Lettuce - Romaine,66.82
209,Chinese Foods - Thick Noodles,37.16
210,Easy Off Oven Cleaner,58.93
211,Eggplant - Asian,37.06
212,Corn Shoots,68.32
213,Jameson Irish Whiskey,1.33
214,Bread - Bistro Sour,78.64
215,"Bread - Sticks, Thin, Plain",75.65
216,Scallops - In Shell,24.98
217,Wine - Carmenere Casillero Del,93.35
218,Wine - Rosso Del Veronese Igt,97.44
219,Table Cloth 62x114 Colour,51.06
220,"Lamb - Shoulder, Boneless",88.1
221,Beef - Ground Medium,71.01
222,Bread - Bistro White,14.21
223,Bread - Pita,80.92
224,"Beans - Kidney, Canned",55.98
225,Wine - Remy Pannier Rose,65.79
226,Bread - Multigrain,78.42
227,Turnip - Wax,92.28
228,Wiberg Cure,33.32
229,"Pasta - Cannelloni, Sheets, Fresh",79.7
230,Pastry - Apple Large,60.3
231,Sauce - Fish 25 Ozf Bottle,98.59
232,Teriyaki Sauce,88.99
233,Wine - Valpolicella Masi,85.45
234,Kumquat,53.59
235,Apple - Royal Gala,6.28
236,Cheese - Le Cheve Noir,77.6
237,Coffee - Cafe Moreno,53.49
238,Coffee - Ristretto Coffee Capsule,33.02
239,"Wine - White, Gewurtzraminer",68.52
240,Milk - Chocolate 500ml,96.08
241,"Wine - White, French Cross",77.0
242,"Oil - Shortening,liqud, Fry",33.76
243,"Onions - Dried, Chopped",61.59
244,V8 Pet,47.15
245,Pineapple - Golden,27.86
246,Soup Campbells,87.11
247,Chick Peas - Canned,68.65
248,Plasticspoonblack,13.5
249,"Pork - Butt, Boneless",80.34
250,"Pork - Back, Short Cut, Boneless",27.15
251,Easy Off Oven Cleaner,50.48
252,Sausage - Meat,98.44
253,Soap - Pine Sol Floor Cleaner,23.23
254,"Doilies - 5, Paper",56.07
255,Transfer Sheets,44.82
256,Pepper - Red Thai,24.17
257,"Wine - Red, Wolf Blass, Yellow",45.23
258,Hand Towel,57.32
259,Juice - Ocean Spray Kiwi,60.72
260,"Pasta - Lasagna, Dry",58.74
261,Country Roll,33.41
262,"Nut - Peanut, Roasted",42.31
263,"Pork - Butt, Boneless",17.18
264,Assorted Desserts,79.21
265,Flour - Cake,37.54
266,Longos - Grilled Salmon With Bbq,25.12
267,"Crush - Grape, 355 Ml",13.44
268,Beer - Rickards Red,63.23
269,Muffin Batt - Choc Chk,73.66
270,Cookies - Englishbay Wht,9.82
271,Beer - Original Organic Lager,55.96
272,Baking Soda,8.83
273,Haggis,82.63
274,Fish - Bones,84.47
275,Apron,35.74
276,Cheese - Grana Padano,80.83
277,Sauerkraut,78.9
278,Lotus Rootlets - Canned,30.11
279,Rabbit - Frozen,43.94
280,Juice - Orange,5.52
281,Cheese - Feta,33.16
282,Ostrich - Prime Cut,74.78
283,"Coffee - Colombian, Portioned",57.88
284,Mushrooms - Honey,19.3
285,"Radish - Black, Winter, Organic",95.06
286,"Chilli Paste, Sambal Oelek",60.84
287,"Coffee - Beans, Whole",95.45
288,Muffin Batt - Carrot Spice,37.64
289,Devonshire Cream,60.54
290,Ecolab - Balanced Fusion,56.65
291,"Tuna - Canned, Flaked, Light",50.06
292,Sugar - Splenda Sweetener,87.82
293,Mushroom Morel Fresh,87.92
294,Cactus Pads,93.92
295,Extract - Rum,95.21
296,Paste - Black Olive,78.93
297,Napkin - Beverage 1 Ply,44.75
298,Pepper - Red Chili,74.81
299,Sprouts - Pea,12.63
300,Soup - Tomato Mush. Florentine,70.25
301,Mcgillicuddy Vanilla Schnap,24.76
302,Bread - White Epi Baguette,46.3
303,Corn Kernels - Frozen,22.12
304,Soup - Campbells Broccoli,2.78
305,Beer - Fruli,13.87
306,Syrup - Monin - Passion Fruit,4.73
307,Rabbit - Legs,26.26
308,Container - Hngd Cll Blk 7x7x3,26.41
309,Flower - Leather Leaf Fern,59.4
310,Basil - Pesto Sauce,11.89
311,Pants Custom Dry Clean,43.87
312,Rice - 7 Grain Blend,28.68
313,Pork Ham Prager,69.72
314,Eggplant Oriental,3.33
315,Ecolab - Power Fusion,15.72
316,Okra,45.75
317,Coffee Cup 8oz 5338cd,65.38
318,Danishes - Mini Cheese,95.65
319,Celery,29.16
320,Pastry - Banana Tea Loaf,35.86
321,Wine - Riesling Dr. Pauly,29.2
322,Mace Ground,68.64
323,Graham Cracker Mix,48.91
324,Worcestershire Sauce,84.96
325,Lettuce - Belgian Endive,31.52
326,Turkey - Ground. Lean,4.94
327,Quail - Jumbo Boneless,31.13
328,Longos - Grilled Veg Sandwiches,79.42
329,Wine - Port Late Bottled Vintage,95.69
330,Wine - Lou Black Shiraz,91.12
331,Sugar - Individual Portions,79.18
332,Shiro Miso,36.25
333,Ham - Procutinni,42.97
334,Water - Spring 1.5lit,79.01
335,Sugar - Splenda Sweetener,75.89
336,"Nut - Almond, Blanched, Whole",23.19
337,Lettuce - Radicchio,38.34
338,Wine - Conde De Valdemar,80.96
339,Yogurt - Assorted Pack,30.34
340,Veal - Eye Of Round,16.74
341,Wine - Cotes Du Rhone,80.08
342,Beef - Tenderloin,23.47
343,Milk - 1%,28.06
344,"Beans - Kidney, Canned",2.83
345,Cod - Black Whole Fillet,81.69
346,Squash - Sunburst,43.35
347,Chocolate - Liqueur Cups With Foil,65.88
348,Yoghurt Tubes,59.15
349,Tuna - Yellowfin,8.67
350,Truffle Cups - White Paper,87.05
351,"Shrimp - 16/20, Peeled Deviened",13.42
352,Pastry - Apple Muffins - Mini,94.93
353,"Soup - Knorr, Ministrone",26.51
354,Table Cloth 62x120 White,92.88
355,Apples - Sliced / Wedge,37.93
356,"Star Anise, Whole",23.72
357,Tea - Herbal Orange Spice,90.84
358,Cheese - Provolone,67.98
359,Broccoli - Fresh,30.98
360,Steampan Lid,47.13
361,Cheese - Montery Jack,36.67
362,"Oil - Truffle, White",51.7
363,Cake - Pancake,36.64
364,"Wine - White, Cooking",85.99
365,V8 - Vegetable Cocktail,16.64
366,Puree - Guava,93.19
367,Lamb - Sausage Casings,12.01
368,V8 Pet,54.82
369,Flour - Strong,32.82
370,"Tart Shells - Sweet, 2",59.77
371,Muffin Hinge 117n,57.18
372,Mushroom - Chanterelle Frozen,78.06
373,Food Colouring - Green,80.36
374,Sour Puss Sour Apple,10.07
375,Steampan - Lid For Half Size,90.88
376,Beer - Mcauslan Apricot,7.02
377,Ecolab - Mikroklene 4/4 L,31.2
378,Beans - Fava Fresh,69.48
379,Cookie Trail Mix,54.85
380,"Pork - Bacon, Double Smoked",74.87
381,Beef - Eye Of Round,26.28
382,Chicken - White Meat With Tender,30.2
383,Miso Paste White,41.65
384,"Coconut - Shredded, Unsweet",70.41
385,Beer - Original Organic Lager,84.69
386,Olives - Stuffed,3.45
387,Muffin Chocolate Individual Wrap,16.82
388,Tea - Vanilla Chai,28.8
389,Bread - Flat Bread,72.72
390,"Chilli Paste, Ginger Garlic",79.83
391,Cake - Night And Day Choclate,15.37
392,Marzipan 50/50,76.86
393,Tea - Apple Green Tea,1.35
394,Salt - Table,92.46
395,Bandage - Flexible Neon,18.59
396,Soup - Campbells Chili,51.74
397,Mustard - Pommery,83.21
398,Yoplait Drink,20.1
399,Cheese - Provolone,15.89
400,Wine - Riesling Dr. Pauly,50.95
401,Sausage - Andouille,16.71
402,"Crush - Orange, 355ml",85.81
403,Syrup - Monin - Passion Fruit,55.62
404,"Cheese - Brie,danish",41.87
405,Longos - Grilled Veg Sandwiches,31.17
406,Langers - Cranberry Cocktail,61.98
407,Potatoes - Peeled,70.35
408,Wine - Barbera Alba Doc 2001,8.74
409,Vinegar - Balsamic,18.04
410,Stock - Fish,77.79
411,Sausage - Liver,81.48
412,"Crush - Grape, 355 Ml",70.15
413,"Nut - Almond, Blanched, Ground",35.06
414,"Sauce - Apple, Unsweetened",28.27
415,Cream - 35%,8.57
416,Beer - Moosehead,49.9
417,Soup - Campbells Asian Noodle,77.93
418,Beer - Guiness,15.62
419,Ginger - Fresh,26.08
420,Chicken - Base,11.72
421,The Pop Shoppe - Grape,29.36
422,Sachet,79.05
423,Mint - Fresh,1.2
424,Arctic Char - Fillets,95.87
425,Jolt Cola - Electric Blue,49.16
426,"Juice - Grape, White",83.54
427,Veal - Insides Provini,40.5
428,Black Currants,9.78
429,"Syrup - Monin, Amaretta",82.44
430,Skirt - 24 Foot,67.66
431,Pie Shell - 9,39.13
432,"Pepper - Chipotle, Canned",84.96
433,"Bread - Roll, Italian",41.47
434,Cocoa Feuilletine,78.05
435,"Wine - Saint - Bris 2002, Sauv",71.37
436,Goat - Leg,60.76
437,Bread - Multigrain Oval,69.25
438,Creme De Cacao White,89.81
439,Garbage Bags - Black,28.18
440,"Wine - Red, Black Opal Shiraz",56.95
441,Lid - 0090 Clear,7.94
442,Pepper - Sorrano,1.95
443,Caviar - Salmon,20.4
444,Tea - Herbal I Love Lemon,73.04
445,"Wine - Red, Concha Y Toro",97.02
446,Tart - Lemon,10.71
447,Arizona - Plum Green Tea,58.95
448,"Artichoke - Hearts, Canned",28.49
449,Cheese - Provolone,91.25
450,"Wine - Red, Gallo, Merlot",79.95
451,Napkin - Beverage 1 Ply,7.34
452,Island Oasis - Lemonade,30.85
453,Wine - Guy Sage Touraine,17.32
454,Pan Grease,40.24
455,"Cherries - Bing, Canned",58.64
456,"Lid - Translucent, 3.5 And 6 Oz",36.43
457,Rice - Sushi,39.86
458,"Tart Shells - Savory, 3",5.32
459,Wooden Mop Handle,56.45
460,Cheese - La Sauvagine,26.08
461,Scallops - 10/20,69.39
462,"Rum - Light, Captain Morgan",23.6
463,Veal - Ground,62.14
464,"Quail - Whole, Bone - In",90.82
465,Cheese - Parmesan Grated,79.72
466,Corn Meal,32.87
467,Bread - Triangle White,43.64
468,Carrots - Jumbo,60.85
469,Sole - Fillet,68.66
470,Table Cloth 72x144 White,33.52
471,Scrubbie - Scotchbrite Hand Pad,69.23
472,Mushroom - White Button,47.78
473,Flour - Semolina,83.57
474,Scallops - 10/20,70.31
475,"Veal - Shank, Pieces",69.97
476,Rosemary - Fresh,19.88
477,Wine - Barbera Alba Doc 2001,77.11
478,Seaweed Green Sheets,31.44
479,Plasticforkblack,4.12
480,"Sole - Dover, Whole, Fresh",33.93
481,Nantucket Apple Juice,57.28
482,Pastrami,65.72
483,Bar Energy Chocchip,4.05
484,Wine - Soave Folonari,44.78
485,Broom - Corn,83.27
486,Pernod,62.27
487,Calypso - Strawberry Lemonade,78.63
488,Butcher Twine 4r,42.39
489,Foil Wrap,72.36
490,Salmon Atl.whole 8 - 10 Lb,33.45
491,Mayonnaise - Individual Pkg,37.03
492,Pomello,76.99
493,"Juice - Pineapple, 341 Ml",79.88
494,"Pepper - Julienne, Frozen",48.3
495,"Juice - Apple, 1.36l",1.65
496,Mcgillicuddy Vanilla Schnap,36.24
497,Wine - Prosecco Valdobiaddene,81.64
498,Apple - Granny Smith,7.14
499,Gatorade - Cool Blue Raspberry,24.27
500,Wine - Trimbach Pinot Blanc,5.09
501,Squid U5 - Thailand,84.96
502,Pop - Club Soda Can,16.85
503,Apples - Spartan,19.11
504,Brandy Apricot,24.81
505,Papayas,69.21
506,Grapefruit - White,63.83
507,"Bread - Pumpernickle, Rounds",68.44
508,Wine - Remy Pannier Rose,86.48
509,"C - Plus, Orange",58.26
510,Ecolab - Power Fusion,63.83
511,"Tomatoes - Vine Ripe, Yellow",21.1
512,"Salt - Rock, Course",70.76
513,Hot Choc Vending,43.77
514,Tomato - Tricolor Cherry,35.95
515,Gooseberry,37.38
516,"Beans - Fava, Canned",80.05
517,Chicken - Tenderloin,39.44
518,Swiss Chard - Red,14.53
519,"Veal - Chops, Split, Frenched",10.74
520,Heavy Duty Dust Pan,5.87
521,Wine - Kwv Chenin Blanc South,80.46
522,Fruit Salad Deluxe,38.05
523,Milk - Skim,17.07
524,Swiss Chard - Red,7.42
525,Jam - Apricot,61.12
526,Juice - Orange,16.09
527,Samosa - Veg,97.82
528,Icecream Bar - Del Monte,83.68
529,Parsley - Dried,38.94
530,"Ham - Smoked, Bone - In",55.35
531,Wine - Peller Estates Late,16.92
532,Bandage - Fexible 1x3,64.33
533,Cheese - Pont Couvert,16.16
534,Cheese - Taleggio D.o.p.,29.31
535,Plate Pie Foil,58.02
536,Wine - Two Oceans Cabernet,74.27
537,Longos - Burritos,61.97
538,"Pepper - Green, Chili",4.72
539,"Tea - Darjeeling, Azzura",40.04
540,Onions Granulated,92.64
541,Beef - Texas Style Burger,26.28
542,Muffin - Carrot Individual Wrap,5.12
543,Tea - Honey Green Tea,46.19
544,Ocean Spray - Kiwi Strawberry,28.08
545,"Pepper - Paprika, Hungarian",53.97
546,Cake - Lemon Chiffon,14.87
547,Soup - Tomato Mush. Florentine,45.72
548,Cookies - Englishbay Chochip,95.47
549,Mint - Fresh,59.19
550,Island Oasis - Banana Daiquiri,68.18
551,Chicken Breast Wing On,92.4
552,Lamb - Sausage Casings,47.86
553,Pate - Peppercorn,61.26
554,French Pastries,36.73
555,Durian Fruit,53.17
556,Pastry - Choclate Baked,92.24
557,Juice - Lagoon Mango,27.01
558,Artichokes - Jerusalem,28.11
559,Tomatoes - Orange,87.31
560,Sauce - Cranberry,77.47
561,Foie Gras,16.29
562,Ginger - Pickled,37.25
563,Nantucket - 518ml,62.91
564,Yogurt - French Vanilla,3.01
565,Wine - Chateauneuf Du Pape,31.39
566,Red Pepper Paste,15.17
567,Coffee - Decafenated,85.81
568,Sobe - Tropical Energy,24.26
569,Sorrel - Fresh,6.09
570,Pastry - French Mini Assorted,34.68
571,Veal - Sweetbread,67.25
572,Bread - Granary Small Pull,40.27
573,"Wine - White, Pelee Island",97.54
574,Pate Pans Yellow,37.91
575,V8 - Vegetable Cocktail,19.38
576,"Wine - White, Colubia Cresh",52.11
577,Alize Red Passion,77.02
578,"Crab - Dungeness, Whole, live",83.07
579,"Beef - Outside, Round",23.74
580,Island Oasis - Magarita Mix,90.5
581,"Mushroom - Enoki, Dry",5.14
582,Wine - Shiraz Wolf Blass Premium,40.56
583,Breakfast Quesadillas,6.9
584,"Chicken - Diced, Cooked",62.24
585,"Chicken - Base, Ultimate",2.09
586,Onions - Cippolini,8.85
587,Cinnamon Rolls,49.75
588,"Beef - Rib Roast, Capless",28.11
589,Pasta - Angel Hair,42.4
590,Pomegranates,53.03
591,Vacuum Bags 12x16,7.08
592,"Pepper - Red, Finger Hot",41.63
593,"Orange - Canned, Mandarin",87.23
594,Eel Fresh,72.53
595,Foam Dinner Plate,39.07
596,Yogurt - Assorted Pack,80.27
597,Daikon Radish,39.38
598,"Asparagus - White, Fresh",84.52
599,"Soup - Canadian Pea, Dry Mix",84.37
600,Cheese - Pont Couvert,24.42
601,"Pasta - Rotini, Dry",9.71
602,Ginger - Crystalized,67.74
603,Bread - Olive,75.21
604,Muffin Mix - Chocolate Chip,83.05
605,Muffin Mix - Chocolate Chip,47.54
606,Rambutan,35.75
607,Corn Syrup,15.32
608,Liqueur - Melon,40.14
609,"Sauce - White, Mix",90.26
610,Plasticforkblack,1.88
611,Tumeric,14.2
612,"Tart Shells - Savory, 4",17.17
613,Muffin Batt - Choc Chk,95.14
614,Glaze - Apricot,72.63
615,Cut Wakame - Hanawakaba,75.94
616,Longos - Penne With Pesto,91.69
617,Baking Soda,18.72
618,Soup Campbells Beef With Veg,7.7
619,Rice - Long Grain,3.67
620,Broom - Push,99.73
621,Mix - Cappucino Cocktail,54.08
622,Corn Meal,33.87
623,Myers Planters Punch,61.3
624,"Soup - Cream Of Broccoli, Dry",68.01
625,Island Oasis - Lemonade,76.6
626,Veal - Knuckle,67.28
627,"Pepper - Black, Whole",26.99
628,"Cheese - Romano, Grated",61.52
629,Tea - Jasmin Green,90.14
630,"Bread - Sticks, Thin, Plain",67.89
631,Pasta - Fusili Tri - Coloured,51.27
632,Orange Roughy 6/8 Oz,24.67
633,Gatorade - Lemon Lime,21.49
634,Melon - Honey Dew,81.96
635,Wine - Zonnebloem Pinotage,96.03
636,Horseradish - Prepared,71.79
637,"Chicken - Base, Ultimate",23.81
638,Coffee - Decafenated,37.64
639,Spring Roll Veg Mini,7.45
640,Pumpkin,11.11
641,Pepper - Green Thai,97.98
642,"Pork - Bacon, Sliced",45.32
643,"Apple - Delicious, Red",87.17
644,Sugar - Crumb,67.41
645,Vinegar - Sherry,53.25
646,Isomalt,81.06
647,Gherkin,99.43
648,Shrimp - Black Tiger 6 - 8,87.55
649,Bread Base - Toscano,33.41
650,Chips Potato Reg 43g,64.46
651,Lobster - Canned Premium,91.94
652,Bread - French Baquette,8.5
653,Aspic - Amber,1.95
654,"Juice - Clam, 46 Oz",62.39
655,Sage - Fresh,64.55
656,Steel Wool,71.21
657,"Bread - Bagels, Plain",64.51
658,Pork Salted Bellies,25.83
659,Shichimi Togarashi Peppeers,56.99
660,Chocolate - Sugar Free Semi Choc,53.86
661,Sauce - Rosee,25.54
662,Cheese - Blue,58.38
663,Nori Sea Weed - Gold Label,54.42
664,Lamb Shoulder Boneless Nz,35.08
665,"Pork - Loin, Boneless",52.57
666,Strawberries - California,82.04
667,Rootbeer,65.62
668,Butter Sweet,54.24
669,Cookie Double Choco,35.89
670,Muffin Mix - Blueberry,40.23
671,Chicken - Ground,8.09
672,"Tarragon - Primerba, Paste",66.02
673,Soupfoamcont12oz 112con,85.43
674,"Bread - Roll, Whole Wheat",58.21
675,Salmon - Canned,51.45
676,Tea - Camomele,91.88
677,Wine - Semi Dry Riesling Vineland,83.75
678,Mushroom - Portebello,85.16
679,Muffin Mix - Corn Harvest,21.32
680,"Bread - White, Sliced",16.57
681,Ecolab - Mikroklene 4/4 L,46.57
682,Bread - Multigrain Oval,62.7
683,Nori Sea Weed,86.59
684,Pastry - Plain Baked Croissant,76.81
685,Cheese - Cheddar With Claret,66.44
686,"Pepper - Green, Chili",77.18
687,Island Oasis - Wildberry,61.85
688,Grenadine,51.47
689,Saskatoon Berries - Frozen,9.76
690,Wine - Soave Folonari,17.35
691,Cheese - La Sauvagine,46.57
692,Bagel - Ched Chs Presliced,17.71
693,Oil - Pumpkinseed,91.71
694,Duck - Legs,98.5
695,Pasta - Fusili Tri - Coloured,97.75
696,Mountain Dew,2.57
697,"Wine - White, Mosel Gold",95.6
698,Ecolab - Mikroklene 4/4 L,27.56
699,"Tortillas - Flour, 12",59.19
700,Cherries - Frozen,38.66
701,"Shrimp - Baby, Warm Water",67.59
702,Lamb Leg - Bone - In Nz,76.23
703,Curry Paste - Madras,11.36
704,Vacuum Bags 12x16,77.3
705,Energy Drink - Franks Original,31.61
706,"Pineapple - Canned, Rings",87.71
707,Shrimp - 150 - 250,86.21
708,Cheese - Provolone,31.52
709,"Bread - Roll, Calabrese",81.29
710,Lamb Shoulder Boneless Nz,39.46
711,"Sprite, Diet - 355ml",46.15
712,Flower - Leather Leaf Fern,77.81
713,Tomato - Green,87.01
714,"Rum - Coconut, Malibu",96.3
715,Creme De Banane - Marie,55.8
716,Lighter - Bbq,16.19
717,Vinegar - Champagne,76.7
718,Soup - Chicken And Wild Rice,39.65
719,Creme De Menth - White,48.23
720,Wine - Zinfandel Rosenblum,23.38
721,Smoked Tongue,7.73
722,Foil Wrap,63.22
723,"Salt - Rock, Course",80.28
724,Cinnamon Rolls,18.64
725,Wine - Maipo Valle Cabernet,64.84
726,Tea - Herbal I Love Lemon,18.15
727,Cucumber - Pickling Ontario,84.76
728,Cheese - Brick With Onion,68.88
729,Oil - Sesame,82.99
730,Cake - Miini Cheesecake Cherry,48.45
731,"Tarragon - Primerba, Paste",65.02
732,Syrup - Monin - Passion Fruit,70.67
733,"Pork - Ham, Virginia",25.92
734,Jam - Apricot,37.32
735,"Beef - Ground, Extra Lean, Fresh",58.85
736,Shichimi Togarashi Peppeers,2.45
737,Cookies - Englishbay Oatmeal,55.03
738,"Soda Water - Club Soda, 355 Ml",60.04
739,Parsley - Fresh,97.47
740,Wine - Segura Viudas Aria Brut,55.66
741,"Pail - 15l White, With Handle",53.18
742,Tart - Pecan Butter Squares,19.9
743,Bread - French Baquette,53.58
744,Butter - Salted,85.18
